,Model,Silhouette
0,Original Model,0.5129911611345482
1,Augmented Model,0.3639226054165035
2,Indicators Model,0.3980628225883653
3,Original Reduced Model,0.6702663861363998
4,Augmented Reduced Model,0.4494601363221509
5,Indicators Reduced Model,0.258194219098272
6,Random Original Model,0.2743911964796851
7,Random Augmented Model,0.12149919190015512
8,Random Indicators Model,0.12214297913192661
9,Random Original Reduced Model,0.2743911964796851
10,Random Augmented Reduced Model,0.032227660142793296
11,Random Indicators Reduced Model,0.13856339795110093
