,labels,silhouette,height,dataset
0,[2 2 1 ... 1 1 3],0.5129911611345482,2.1665996611134166,Original
1,[1 1 1 ... 2 2 4],0.3691714603378136,3.849671961248292,Augmented
2,[1 1 1 ... 2 2 2],0.3980628225883653,3.79402307830363,Indicators
3,[2 2 1 ... 1 1 1],0.6702663861363999,1.304141647805074,Original Reduced
4,[1 1 2 ... 2 2 2],0.5533582071582899,1.759384949293634,Augmented Reduced
5,[1 1 2 ... 2 2 2],0.39070231543268674,2.0457536038333206,Indicators Reduced
6,[5 3 7 ... 8 6 2],0.23266716296033418,2.118150118602523,Random Original
7,[10  7  8 ...  3  7  2],0.16822892566574243,4.106170969159304,Random Augmented
8,[6 7 6 ... 3 4 5],0.14239000268985766,3.9799868345382667,Random Indicators
9,[5 3 7 ... 8 6 2],0.23266716296033418,2.118150118602523,Random Original Reduced
10,[4 5 5 ... 1 5 4],0.07130054036159926,3.247007825051332,Random Augmented Reduced
11,[5 2 6 ... 6 2 5],0.09745253442943608,2.9318124305247037,Random Indicators Reduced
