,labels,silhouette,height,dataset
0,[3 3 1 ... 1 1 2],0.5129911611345482,0.5026820329779071,Original
1,[1 1 5 ... 2 2 4],0.3579272095652327,1.6220954366888047,Augmented
2,[1 1 2 ... 1 1 1],0.4096951483926744,2.29583233190457,Indicators
3,[2 2 1 ... 1 1 1],0.6702663861363999,0.19630299888234629,Original Reduced
4,[2 2 1 ... 1 1 1],0.5533582071582899,0.7245360197874405,Augmented Reduced
5,[2 2 4 ... 3 3 3],0.4448982857584099,0.7548098334787937,Indicators Reduced
6,[3 1 4 ... 6 1 7],0.2744193109799903,0.6597080436118885,Random Original
7,[1 1 1 ... 1 1 1],0.1017067372062719,2.055782085874433,Random Augmented
8,[1 1 1 ... 1 1 1],0.11910684022192893,1.8793633417056166,Random Indicators
9,[3 1 4 ... 6 1 7],0.2744193109799903,0.6597080436118885,Random Original Reduced
10,[1 1 1 ... 1 1 1],0.13712551138870957,1.5524272232662468,Random Augmented Reduced
11,[1 1 1 ... 1 1 1],0.12862060243897383,1.280765936376764,Random Indicators Reduced
