,labels,silhouette,height,dataset
0,[3 3 2 ... 2 2 1],0.5129911611345482,22.630433106604656,Original
1,[1 1 3 ... 3 3 2],0.3710668557538428,48.477394517247546,Augmented
2,[5 5 5 ... 2 2 1],0.3282296044266296,28.996040760865796,Indicators
3,[1 1 2 ... 2 2 2],0.6702663861363999,18.342744211597378,Original Reduced
4,[1 1 2 ... 2 2 2],0.5533582071582899,20.69577191466122,Augmented Reduced
5,[1 1 4 ... 5 5 4],0.4545143891070112,17.613063436573817,Indicators Reduced
6,[4 2 3 ... 7 2 5],0.2744193109799903,12.662119180960257,Random Original
7,[10  8 11 ...  2  8  1],0.16908174590804825,28.541318193147532,Random Augmented
8,[ 3 10  1 ...  6  9  7],0.14237501020645232,29.378075965530527,Random Indicators
9,[4 2 3 ... 7 2 5],0.2744193109799903,12.662119180960257,Random Original Reduced
10,[11  8 10 ...  4  9  1],0.1025646102391764,15.498884382894124,Random Augmented Reduced
11,[ 8  9 11 ...  7  9  5],0.1397419882015013,14.90609238365431,Random Indicators Reduced
