,labels,silhouette,height,dataset
0,[3 3 1 ... 1 1 2],0.5129911611345482,1.194721658069252,Original
1,[2 2 3 ... 3 3 1],0.3710668557538428,3.289632275590404,Augmented
2,[2 2 2 ... 1 1 1],0.3980628225883653,2.8783342978679514,Indicators
3,[2 2 1 ... 1 1 1],0.6702663861363999,0.7063232267659658,Original Reduced
4,[2 2 1 ... 1 1 1],0.5533582071582899,1.1454563632872463,Augmented Reduced
5,[4 4 2 ... 3 3 1],0.44403319370011674,1.20890265094688,Indicators Reduced
6,[2 4 1 ... 7 4 5],0.2743042381005021,1.5531299446548883,Random Original
7,[1 6 3 ... 2 6 9],0.17844857932055191,3.2462671638671248,Random Augmented
8,[10  9  9 ...  5  8  2],0.15711841486616257,2.9373270534186924,Random Indicators
9,[2 4 1 ... 7 4 5],0.2743042381005021,1.5531299446548883,Random Original Reduced
10,[2 1 1 ... 1 1 2],0.09695244044768266,2.5302845592914633,Random Augmented Reduced
11,[ 2  5  4 ... 11  5 10],0.1444863910706048,1.9842917436735568,Random Indicators Reduced
